generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
0,0,0.366000,0.248895,0.250000,0.366000,0.250000,0.366000,0,5,1,-0.25,0.30
1,0,0.366000,0.261720,0.258750,0.366000,0.258750,0.366000,143,5,1,-0.25,0.42
2,0,0.366000,0.272870,0.271500,0.366000,0.271500,0.366000,152,5,1,-0.25,0.32
3,0,0.374250,0.283972,0.284000,0.374250,0.284000,0.374250,151,4,0,-0.25,0.33
4,0,0.374250,0.293893,0.297500,0.374250,0.297500,0.374250,148,4,0,-0.25,0.34
5,0,0.382250,0.305816,0.311000,0.382250,0.311000,0.382250,139,5,1,-0.25,0.36
6,0,0.382250,0.315845,0.325250,0.382250,0.325250,0.382250,124,5,1,-0.25,0.37
7,0,0.386250,0.324614,0.334500,0.386250,0.334500,0.386250,123,8,1,-0.25,0.38
8,0,0.392250,0.328692,0.346000,0.392250,0.346000,0.392250,113,6,1,-0.25,0.42
9,0,0.392250,0.331963,0.351500,0.392250,0.351500,0.392250,112,6,1,-0.25,0.42
10,0,0.392750,0.337927,0.357500,0.392750,0.357500,0.392750,108,8,1,-0.25,0.39
11,0,0.408500,0.337964,0.361250,0.408500,0.361250,0.408500,107,8,2,-0.25,0.42
12,0,0.408500,0.342222,0.367250,0.408500,0.367250,0.408500,121,8,2,-0.25,0.42
13,0,0.408500,0.343687,0.374250,0.408500,0.374250,0.408500,118,8,2,-0.25,0.48
14,0,0.408500,0.347190,0.375000,0.408500,0.375000,0.408500,129,8,2,-0.25,0.47
15,0,0.408500,0.349753,0.377000,0.408500,0.377000,0.408500,130,8,2,-0.25,0.46
16,0,0.417750,0.347913,0.377750,0.417750,0.377750,0.417750,143,9,3,-0.25,0.48
17,0,0.417750,0.352357,0.381000,0.417750,0.381000,0.417750,143,9,3,-0.25,0.47
18,0,0.417750,0.357381,0.382750,0.417750,0.382750,0.417750,147,9,3,-0.25,0.48
19,0,0.421250,0.359286,0.383750,0.421250,0.383750,0.421250,172,10,4,-0.25,0.53
20,0,0.421250,0.359900,0.385750,0.421250,0.385750,0.421250,168,10,4,-0.25,0.58
21,0,0.421500,0.360071,0.388000,0.421500,0.388000,0.421500,181,10,5,-0.25,0.58
22,0,0.421500,0.363216,0.390750,0.421500,0.390750,0.421500,175,10,5,-0.25,0.64
23,0,0.425750,0.364964,0.392250,0.425750,0.392250,0.425750,169,10,5,-0.25,0.62
24,0,0.425750,0.364556,0.392500,0.425750,0.392500,0.425750,178,10,5,-0.25,0.61
25,0,0.425750,0.363602,0.392750,0.425750,0.392750,0.425750,171,10,5,-0.25,0.55
26,0,0.427750,0.364763,0.393750,0.427750,0.393750,0.427750,166,11,5,-0.25,0.61
27,0,0.427750,0.367725,0.394750,0.427750,0.394750,0.427750,168,11,5,-0.25,0.61
28,0,0.429250,0.369404,0.395000,0.429250,0.395000,0.429250,175,12,6,-0.25,0.59
29,0,0.429250,0.369872,0.397500,0.429250,0.397500,0.429250,179,12,6,-0.25,0.66
30,0,0.429250,0.370743,0.398000,0.429250,0.398000,0.429250,174,12,6,-0.25,0.72
31,0,0.429250,0.376132,0.400250,0.429250,0.400250,0.429250,183,12,6,-0.25,0.69
32,0,0.429750,0.375434,0.401250,0.429750,0.401250,0.429750,174,12,6,-0.25,0.83
33,0,0.430500,0.382132,0.402500,0.430500,0.402500,0.430500,187,13,7,-0.25,0.69
34,0,0.431000,0.387302,0.405000,0.431000,0.405000,0.431000,194,13,7,-0.25,0.67
35,0,0.431000,0.389719,0.409500,0.431000,0.409500,0.431000,189,13,7,-0.25,0.70
36,0,0.431000,0.390178,0.410500,0.431000,0.410500,0.431000,177,13,7,-0.25,0.77
37,0,0.431250,0.394122,0.412500,0.431250,0.412500,0.431250,180,16,7,-0.25,0.80
38,0,0.431500,0.391296,0.413750,0.431500,0.413750,0.431500,169,14,7,-0.25,0.83
39,0,0.431750,0.392146,0.417000,0.431750,0.417000,0.431750,171,19,8,-0.25,0.80
40,0,0.431750,0.393189,0.421500,0.431750,0.421500,0.431750,164,19,8,-0.25,0.81
41,0,0.432500,0.391606,0.422000,0.432500,0.422000,0.432500,169,14,7,-0.25,0.81
42,0,0.433250,0.395571,0.423750,0.433250,0.423750,0.433250,163,17,7,-0.25,0.82
43,0,0.433250,0.398541,0.426750,0.433250,0.426750,0.433250,172,17,7,-0.25,0.88
44,0,0.433250,0.395895,0.427500,0.433250,0.427500,0.433250,176,17,7,-0.25,0.84
45,0,0.433250,0.399959,0.428500,0.433250,0.428500,0.433250,175,17,7,-0.25,0.91
46,0,0.433500,0.400848,0.429000,0.433500,0.429000,0.433500,191,17,8,-0.25,0.88
47,0,0.433500,0.399190,0.429000,0.433500,0.429000,0.433500,193,17,8,-0.25,0.82
48,0,0.433500,0.401611,0.429500,0.433500,0.429500,0.433500,206,17,8,-0.25,0.81
49,0,0.433500,0.405105,0.431000,0.433500,0.431000,0.433500,214,17,8,-0.25,0.81
50,0,0.433500,0.403735,0.431000,0.433500,0.431000,0.433500,217,17,8,-0.25,0.82
51,0,0.433500,0.405489,0.431000,0.433500,0.431000,0.433500,224,17,8,-0.25,0.82
52,0,0.433500,0.405998,0.431500,0.433500,0.431500,0.433500,226,17,8,-0.25,0.84
53,0,0.433750,0.405364,0.431500,0.433750,0.431500,0.433750,220,19,9,-0.25,0.91
54,0,0.433750,0.406593,0.431750,0.433750,0.431750,0.433750,226,19,9,-0.25,0.93
55,0,0.434250,0.408597,0.431750,0.434250,0.431750,0.434250,229,18,8,-0.25,1.00
56,0,0.434250,0.408124,0.431750,0.434250,0.431750,0.434250,233,18,8,-0.25,0.97
57,0,0.434250,0.407466,0.432000,0.434250,0.432000,0.434250,216,18,8,-0.25,0.95
58,0,0.435000,0.407664,0.432000,0.435000,0.432000,0.435000,223,19,8,-0.25,0.95
59,0,0.435250,0.404090,0.432500,0.435250,0.432500,0.435250,215,20,9,-0.25,0.95
60,0,0.435250,0.405136,0.432500,0.435250,0.432500,0.435250,207,20,9,-0.25,0.97
61,0,0.435750,0.404810,0.432750,0.435750,0.432750,0.435750,204,20,8,-0.25,1.07
62,0,0.435750,0.404308,0.433000,0.435750,0.433000,0.435750,207,20,8,-0.25,1.06
63,0,0.435750,0.406767,0.433250,0.435750,0.433250,0.435750,212,20,8,-0.25,1.02
64,0,0.435750,0.406650,0.433500,0.435750,0.433500,0.435750,208,20,8,-0.25,1.20
65,0,0.435750,0.408565,0.433500,0.435750,0.433500,0.435750,220,20,8,-0.25,1.05
66,0,0.435750,0.404808,0.433500,0.435750,0.433500,0.435750,225,20,8,-0.25,1.02
67,0,0.435750,0.408391,0.433500,0.435750,0.433500,0.435750,228,20,8,-0.25,1.05
68,0,0.436000,0.408320,0.433500,0.436000,0.433500,0.436000,227,22,9,-0.25,1.06
69,0,0.436000,0.407540,0.433750,0.436000,0.433750,0.436000,232,22,9,-0.25,1.05
70,0,0.436000,0.410720,0.433750,0.436000,0.433750,0.436000,231,22,9,-0.25,1.00
71,0,0.436000,0.408574,0.433750,0.436000,0.433750,0.436000,231,22,9,-0.25,1.05
72,0,0.436000,0.409740,0.434000,0.436000,0.434000,0.436000,234,22,9,-0.25,1.07
73,0,0.436000,0.408134,0.434000,0.436000,0.434000,0.436000,227,22,9,-0.25,1.06
74,0,0.438750,0.410248,0.434250,0.438750,0.434250,0.438750,235,24,10,-0.25,1.06
75,0,0.438750,0.410847,0.434250,0.438750,0.434250,0.438750,229,24,10,-0.25,1.10
76,0,0.438750,0.411948,0.435000,0.438750,0.435000,0.438750,234,24,10,-0.25,1.07
77,0,0.438750,0.410592,0.435000,0.438750,0.435000,0.438750,223,24,10,-0.25,1.15
78,0,0.438750,0.408227,0.435000,0.438750,0.435000,0.438750,222,24,10,-0.25,1.20
79,0,0.438750,0.408742,0.435250,0.438750,0.435250,0.438750,211,24,10,-0.25,1.33
80,0,0.438750,0.409260,0.435250,0.438750,0.435250,0.438750,210,24,10,-0.25,1.23
81,0,0.438750,0.408017,0.435250,0.438750,0.435250,0.438750,208,24,10,-0.25,1.26
82,0,0.438750,0.407747,0.435250,0.438750,0.435250,0.438750,206,25,10,-0.25,1.31
83,0,0.439000,0.408088,0.435500,0.439000,0.435500,0.439000,215,27,13,-0.25,1.33
84,0,0.439250,0.410187,0.435500,0.439250,0.435500,0.439250,207,25,10,-0.25,1.16
85,0,0.439250,0.410316,0.435750,0.439250,0.435750,0.439250,212,25,10,-0.25,1.17
86,0,0.439250,0.410063,0.435750,0.439250,0.435750,0.439250,222,25,10,-0.25,1.20
87,0,0.439250,0.410102,0.435750,0.439250,0.435750,0.439250,212,25,10,-0.25,1.21
88,0,0.439250,0.411709,0.435750,0.439250,0.435750,0.439250,221,25,10,-0.25,1.20
89,0,0.439500,0.413800,0.436000,0.439500,0.436000,0.439500,217,28,12,-0.25,1.20
90,0,0.439500,0.413904,0.436000,0.439500,0.436000,0.439500,219,28,12,-0.25,1.21
91,0,0.439500,0.413884,0.436250,0.439500,0.436250,0.439500,207,28,12,-0.25,1.35
92,0,0.439500,0.412938,0.436250,0.439500,0.436250,0.439500,213,26,12,-0.25,1.30
93,0,0.439750,0.414337,0.436250,0.439750,0.436250,0.439750,204,30,13,-0.25,1.32
94,0,0.439750,0.416406,0.436250,0.439750,0.436250,0.439750,198,30,13,-0.25,1.28
95,0,0.440000,0.413388,0.436250,0.440000,0.436250,0.440000,194,34,14,-0.25,1.31
96,0,0.440000,0.413037,0.438000,0.440000,0.438000,0.440000,192,34,14,-0.25,1.34
97,0,0.440000,0.415541,0.438500,0.440000,0.438500,0.440000,183,34,14,-0.25,1.35
98,0,0.440000,0.414347,0.438750,0.440000,0.438750,0.440000,182,34,14,-0.25,1.39
99,0,0.440000,0.414075,0.438750,0.440000,0.438750,0.440000,179,34,14,-0.25,1.38
100,0,0.440000,0.416769,0.439000,0.440000,0.439000,0.440000,176,34,14,-0.25,1.38
101,0,0.440500,0.416510,0.439000,0.440500,0.439000,0.440500,186,31,14,-0.25,1.44
102,0,0.440500,0.416998,0.439000,0.440500,0.439000,0.440500,204,31,14,-0.25,1.44
103,0,0.440500,0.416382,0.439250,0.440500,0.439250,0.440500,201,31,14,-0.25,1.47
104,0,0.440500,0.417891,0.439250,0.440500,0.439250,0.440500,218,31,14,-0.25,1.45
105,0,0.440500,0.421803,0.439250,0.440500,0.439250,0.440500,233,30,14,-0.25,1.60
106,0,0.440500,0.422267,0.439250,0.440500,0.439250,0.440500,242,30,14,-0.25,1.40
107,0,0.440500,0.419467,0.439000,0.440500,0.439000,0.440500,244,30,14,-0.25,1.47
108,0,0.440500,0.421999,0.439250,0.440500,0.439250,0.440500,262,30,14,-0.25,1.40
109,0,0.440750,0.421626,0.439250,0.440750,0.439250,0.440750,258,39,18,-0.25,1.39
110,0,0.440750,0.422605,0.439500,0.440750,0.439500,0.440750,248,39,18,-0.25,1.37
111,0,0.440750,0.421269,0.439750,0.440750,0.439750,0.440750,253,39,18,-0.25,1.47
112,0,0.440750,0.420718,0.439750,0.440750,0.439750,0.440750,241,33,15,-0.25,1.49
113,0,0.440750,0.420665,0.439750,0.440750,0.439750,0.440750,225,33,15,-0.25,1.58
114,0,0.441000,0.422889,0.439750,0.441000,0.439750,0.441000,240,33,16,-0.25,1.55
115,0,0.441000,0.423717,0.439750,0.441000,0.439750,0.441000,250,33,16,-0.25,1.79
116,0,0.441000,0.423314,0.439750,0.441000,0.439750,0.441000,254,32,15,-0.25,1.67
117,0,0.441000,0.424549,0.439750,0.441000,0.439750,0.441000,258,32,15,-0.25,1.64
118,0,0.441000,0.425871,0.439750,0.441000,0.439750,0.441000,273,32,15,-0.25,1.57
119,0,0.441000,0.425435,0.439750,0.441000,0.439750,0.441000,262,32,14,-0.25,1.48
120,0,0.441000,0.427605,0.439750,0.441000,0.439750,0.441000,279,32,14,-0.25,1.70
121,0,0.441000,0.426963,0.439750,0.441000,0.439750,0.441000,282,32,14,-0.25,1.53
122,0,0.441000,0.426737,0.440000,0.441000,0.440000,0.441000,290,32,14,-0.25,1.59
123,0,0.441000,0.428022,0.440000,0.441000,0.440000,0.441000,274,32,14,-0.25,1.65
124,0,0.441000,0.427037,0.440000,0.441000,0.440000,0.441000,273,32,14,-0.25,1.61
125,0,0.441000,0.426520,0.440000,0.441000,0.440000,0.441000,262,32,14,-0.25,1.59
126,0,0.441000,0.428761,0.440000,0.441000,0.440000,0.441000,268,32,14,-0.25,1.67
127,0,0.441000,0.428908,0.440000,0.441000,0.440000,0.441000,271,32,14,-0.25,1.55
128,0,0.441000,0.427830,0.440000,0.441000,0.440000,0.441000,267,32,14,-0.25,1.46
129,0,0.441000,0.427915,0.440000,0.441000,0.440000,0.441000,275,32,14,-0.25,1.56
130,0,0.442000,0.428453,0.440250,0.442000,0.440250,0.442000,281,34,19,-0.25,1.50
131,0,0.442000,0.428059,0.440250,0.442000,0.440250,0.442000,264,34,19,-0.25,1.55
132,0,0.442000,0.430912,0.440250,0.442000,0.440250,0.442000,269,34,19,-0.25,1.51
133,0,0.442000,0.430286,0.440250,0.442000,0.440250,0.442000,280,34,19,-0.25,1.58
134,0,0.442000,0.430466,0.440250,0.442000,0.440250,0.442000,279,34,19,-0.25,1.59
135,0,0.442000,0.429671,0.440250,0.442000,0.440250,0.442000,282,34,19,-0.25,1.54
