Candidate Bot,Opponent Bot,Win Rate (%),CI Margin (%),Avg Card Pts
RandomBot,RandomBot,50.00,0.00,60.00
RandomBot,OldHeuristicBot,5.38,2.21,23.91
RandomBot,EliteHeuristicBot,3.00,1.67,22.31
RandomBot,WANN (Champion),8.38,2.71,25.08
OldHeuristicBot,RandomBot,44.62,4.87,36.09
OldHeuristicBot,OldHeuristicBot,50.00,0.00,60.00
OldHeuristicBot,EliteHeuristicBot,20.12,3.93,28.99
OldHeuristicBot,WANN (Champion),23.62,4.16,29.91
EliteHeuristicBot,RandomBot,47.00,4.89,37.69
EliteHeuristicBot,OldHeuristicBot,29.88,4.49,31.01
EliteHeuristicBot,EliteHeuristicBot,50.00,0.00,60.00
EliteHeuristicBot,WANN (Champion),32.25,4.58,31.47
WANN (Champion),RandomBot,41.62,4.83,34.92
WANN (Champion),OldHeuristicBot,26.38,4.32,30.09
WANN (Champion),EliteHeuristicBot,17.75,3.74,28.53
WANN (Champion),WANN (Champion),50.00,0.00,60.00
