generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,elapsed_sec
0,0,0.481667,0.287745,0.324767,0.481667,0.324767,0.481667,0,5,1,0.52
1,0,0.488067,0.355802,0.373067,0.488067,0.373067,0.488067,187,3,0,0.58
2,0,0.488067,0.382843,0.374733,0.488067,0.374733,0.488067,196,3,0,0.56
3,0,0.490500,0.398228,0.378767,0.490500,0.378767,0.490500,197,2,0,0.58
4,0,0.514267,0.411818,0.420400,0.514267,0.420400,0.514267,193,5,1,0.61
5,0,0.514267,0.429971,0.454600,0.514267,0.454600,0.514267,199,5,1,0.69
6,0,0.514267,0.450332,0.475167,0.514267,0.475167,0.514267,202,5,1,0.60
7,0,0.514267,0.458453,0.479433,0.514267,0.479433,0.514267,184,5,1,0.60
8,0,0.514267,0.466595,0.480333,0.514267,0.480333,0.514267,167,5,1,0.66
9,0,0.514267,0.468378,0.483967,0.514267,0.483967,0.514267,163,5,1,0.65
10,0,0.514267,0.469567,0.484733,0.514267,0.484733,0.514267,151,5,1,0.58
11,0,0.524200,0.476615,0.497500,0.524200,0.497500,0.524200,141,6,1,0.58
12,0,0.524200,0.478461,0.498800,0.524200,0.498800,0.524200,131,6,1,0.59
13,0,0.524200,0.480857,0.498867,0.524200,0.498867,0.524200,117,6,1,0.61
14,0,0.524200,0.478242,0.498900,0.524200,0.498900,0.524200,134,6,1,0.61
15,0,0.524200,0.480671,0.509067,0.524200,0.509067,0.524200,136,6,1,0.63
16,0,0.524500,0.479490,0.514267,0.524500,0.514267,0.524500,143,9,2,0.63
17,0,0.526400,0.484113,0.514267,0.526400,0.514267,0.526400,137,8,2,0.71
18,0,0.526400,0.488041,0.514500,0.526400,0.514500,0.526400,127,8,2,0.62
19,0,0.526400,0.487170,0.520700,0.526400,0.520700,0.526400,122,8,2,0.62
20,0,0.527467,0.488246,0.524200,0.527467,0.524200,0.527467,119,10,2,0.67
21,0,0.527467,0.491953,0.524200,0.527467,0.524200,0.527467,118,10,2,0.75
22,0,0.527467,0.493980,0.524200,0.527467,0.524200,0.527467,144,10,2,0.69
23,0,0.527467,0.495803,0.524233,0.527467,0.524233,0.527467,142,10,2,0.68
24,0,0.527467,0.496903,0.524500,0.527467,0.524500,0.527467,148,10,2,0.68
25,0,0.527467,0.502253,0.526400,0.527467,0.526400,0.527467,149,10,2,0.73
26,0,0.527467,0.499959,0.526400,0.527467,0.526400,0.527467,164,10,2,0.71
27,0,0.527500,0.500923,0.526400,0.527500,0.526400,0.527500,162,13,4,0.76
28,0,0.527500,0.500544,0.526400,0.527500,0.526400,0.527500,172,13,4,0.71
29,0,0.527500,0.501609,0.526400,0.527500,0.526400,0.527500,174,13,3,0.85
30,0,0.529233,0.500399,0.526400,0.529233,0.526400,0.529233,177,14,5,0.72
31,0,0.554267,0.500761,0.526467,0.554267,0.526467,0.554267,174,13,3,0.73
32,0,0.554267,0.499937,0.527133,0.554267,0.527133,0.554267,181,13,3,0.82
33,0,0.554267,0.503266,0.527467,0.554267,0.527467,0.554267,185,13,3,0.88
34,0,0.554267,0.503687,0.527467,0.554267,0.527467,0.554267,189,13,3,0.78
35,0,0.554267,0.501686,0.527467,0.554267,0.527467,0.554267,188,13,3,0.83
36,0,0.554967,0.502060,0.527467,0.554967,0.527467,0.554967,189,12,5,0.85
37,0,0.556500,0.502281,0.527467,0.556500,0.527467,0.556500,191,12,3,0.86
38,0,0.556500,0.505202,0.527500,0.556500,0.527500,0.556500,200,12,3,0.83
39,0,0.574367,0.509353,0.527500,0.574367,0.527500,0.574367,201,14,5,0.82
40,0,0.574367,0.507573,0.527500,0.574367,0.527500,0.574367,212,14,5,0.85
41,0,0.574367,0.512717,0.527733,0.574367,0.527733,0.574367,213,14,5,0.90
42,0,0.576600,0.513194,0.529233,0.576600,0.529233,0.576600,212,12,5,0.86
43,0,0.576600,0.515404,0.529233,0.576600,0.529233,0.576600,218,12,5,0.87
44,0,0.576600,0.519205,0.545700,0.576600,0.545700,0.576600,209,12,5,0.87
45,0,0.576600,0.524497,0.554267,0.576600,0.554267,0.576600,200,14,4,0.90
46,0,0.576600,0.526453,0.554967,0.576600,0.554967,0.576600,191,14,4,0.87
47,0,0.576633,0.531577,0.556433,0.576633,0.556433,0.576633,195,20,6,0.89
48,0,0.576633,0.535401,0.561467,0.576633,0.561467,0.576633,181,20,6,0.86
49,0,0.576633,0.535828,0.574167,0.576633,0.574167,0.576633,174,15,5,0.92
50,0,0.577100,0.537539,0.574367,0.577100,0.574367,0.577100,180,16,4,0.89
51,0,0.577100,0.535637,0.574400,0.577100,0.574400,0.577100,194,16,4,0.87
52,0,0.577100,0.538765,0.576600,0.577100,0.576600,0.577100,186,16,4,0.95
53,0,0.577100,0.539316,0.576600,0.577100,0.576600,0.577100,187,16,4,0.94
54,0,0.577100,0.540150,0.576600,0.577100,0.576600,0.577100,217,16,4,0.91
55,0,0.577100,0.539337,0.576600,0.577100,0.576600,0.577100,212,16,4,0.91
56,0,0.577133,0.541710,0.576600,0.577133,0.576600,0.577133,222,17,7,0.89
57,0,0.577133,0.538624,0.576633,0.577133,0.576633,0.577133,224,17,7,0.97
58,0,0.577133,0.544544,0.576633,0.577133,0.576633,0.577133,215,17,7,1.02
59,0,0.577133,0.540839,0.576700,0.577133,0.576700,0.577133,224,21,8,1.20
60,0,0.577133,0.543518,0.577100,0.577133,0.577100,0.577133,237,21,8,1.12
61,0,0.577133,0.545130,0.577100,0.577133,0.577100,0.577133,236,22,7,1.20
62,0,0.577133,0.546454,0.577100,0.577133,0.577100,0.577133,241,22,7,1.20
63,0,0.577133,0.545027,0.577100,0.577133,0.577100,0.577133,244,22,7,1.16
64,0,0.577133,0.549629,0.577100,0.577133,0.577100,0.577133,246,22,7,1.18
65,0,0.577133,0.550042,0.577100,0.577133,0.577100,0.577133,259,22,7,1.35
66,0,0.577133,0.553249,0.577100,0.577133,0.577100,0.577133,260,22,7,1.15
67,0,0.577133,0.553687,0.577100,0.577133,0.577100,0.577133,243,18,7,1.25
68,0,0.577133,0.552286,0.577100,0.577133,0.577100,0.577133,239,18,7,1.32
69,0,0.577133,0.551310,0.577133,0.577133,0.577133,0.577133,219,18,7,1.13
70,0,0.577133,0.548371,0.577133,0.577133,0.577133,0.577133,212,18,7,1.14
71,0,0.577133,0.551403,0.577133,0.577133,0.577133,0.577133,212,18,7,1.36
72,0,0.577133,0.551181,0.577133,0.577133,0.577133,0.577133,231,22,7,1.15
73,0,0.577133,0.551423,0.577133,0.577133,0.577133,0.577133,244,22,7,1.21
74,0,0.577133,0.553192,0.577133,0.577133,0.577133,0.577133,257,22,7,1.31
75,0,0.577133,0.555038,0.577133,0.577133,0.577133,0.577133,256,22,7,1.16
76,0,0.577133,0.555694,0.577133,0.577133,0.577133,0.577133,278,22,7,1.19
77,0,0.577133,0.554665,0.577133,0.577133,0.577133,0.577133,274,22,7,1.17
78,0,0.577133,0.554803,0.577133,0.577133,0.577133,0.577133,301,22,7,1.32
79,0,0.577133,0.556973,0.577133,0.577133,0.577133,0.577133,290,22,7,1.17
80,0,0.577133,0.558404,0.577133,0.577133,0.577133,0.577133,296,22,7,1.16
81,0,0.577133,0.558893,0.577133,0.577133,0.577133,0.577133,305,22,7,1.12
82,0,0.577133,0.559505,0.577133,0.577133,0.577133,0.577133,306,22,7,1.16
83,0,0.577133,0.561768,0.577133,0.577133,0.577133,0.577133,306,22,7,1.17
84,0,0.577133,0.561064,0.577133,0.577133,0.577133,0.577133,307,22,7,1.19
85,0,0.577133,0.561659,0.577133,0.577133,0.577133,0.577133,310,22,7,1.22
86,0,0.577133,0.562310,0.577133,0.577133,0.577133,0.577133,311,22,7,1.13
87,0,0.577133,0.562515,0.577133,0.577133,0.577133,0.577133,309,22,7,1.30
88,0,0.577133,0.562652,0.577133,0.577133,0.577133,0.577133,310,22,7,1.20
89,0,0.577133,0.563888,0.577133,0.577133,0.577133,0.577133,317,22,7,1.18
90,0,0.577133,0.563289,0.577133,0.577133,0.577133,0.577133,319,22,7,1.18
91,0,0.577133,0.563729,0.577133,0.577133,0.577133,0.577133,315,22,7,1.27
92,0,0.577167,0.564094,0.577133,0.577167,0.577133,0.577167,320,23,10,1.27
93,0,0.577167,0.565036,0.577133,0.577167,0.577133,0.577167,318,23,10,1.24
94,0,0.577167,0.563790,0.577133,0.577167,0.577133,0.577167,320,23,10,1.29
95,0,0.577167,0.560844,0.577133,0.577167,0.577133,0.577167,321,23,10,1.23
96,0,0.577167,0.565630,0.577133,0.577167,0.577133,0.577167,322,23,10,1.40
97,0,0.577167,0.565393,0.577133,0.577167,0.577133,0.577167,322,23,10,1.39
98,0,0.577167,0.564066,0.577133,0.577167,0.577133,0.577167,320,23,10,1.43
99,0,0.577167,0.563922,0.577133,0.577167,0.577133,0.577167,314,23,10,1.46
100,0,0.577167,0.561291,0.577133,0.577167,0.577133,0.577167,302,23,10,1.35
101,0,0.577167,0.556673,0.577133,0.577167,0.577133,0.577167,291,26,10,1.36
102,0,0.577167,0.554153,0.577133,0.577167,0.577133,0.577167,262,26,10,1.73
103,0,0.577167,0.552585,0.577133,0.577167,0.577133,0.577167,242,27,10,1.50
104,0,0.577167,0.556362,0.577133,0.577167,0.577133,0.577167,216,27,10,1.70
105,0,0.577167,0.548671,0.577133,0.577167,0.577133,0.577167,204,27,10,1.50
106,0,0.577167,0.554052,0.577133,0.577167,0.577133,0.577167,190,27,10,1.34
107,0,0.577167,0.544188,0.577133,0.577167,0.577133,0.577167,160,27,10,1.36
108,0,0.577167,0.533295,0.577133,0.577167,0.577133,0.577167,158,27,10,1.37
109,0,0.577167,0.530053,0.577133,0.577167,0.577133,0.577167,168,27,10,1.39
110,0,0.577167,0.544659,0.577167,0.577167,0.577167,0.577167,174,27,10,1.24
111,0,0.577233,0.549892,0.577167,0.577233,0.577167,0.577233,192,30,13,1.42
112,0,0.577233,0.539672,0.577167,0.577233,0.577167,0.577233,195,30,13,1.43
113,0,0.577233,0.532171,0.577167,0.577233,0.577167,0.577233,203,30,13,1.35
114,0,0.577233,0.523733,0.577100,0.577233,0.577100,0.577233,194,30,13,1.43
115,0,0.577233,0.528562,0.577133,0.577233,0.577133,0.577233,194,30,13,1.52
116,0,0.577233,0.536428,0.577167,0.577233,0.577167,0.577233,202,30,13,1.36
117,0,0.577233,0.547758,0.577167,0.577233,0.577167,0.577233,206,30,13,1.47
118,0,0.577333,0.549355,0.577167,0.577333,0.577167,0.577333,225,33,14,1.42
119,0,0.577333,0.551444,0.577167,0.577333,0.577167,0.577333,238,33,14,1.47
120,0,0.577333,0.553823,0.577167,0.577333,0.577167,0.577333,254,33,14,1.40
121,0,0.577333,0.550625,0.577167,0.577333,0.577167,0.577333,250,33,14,1.37
122,0,0.581500,0.551870,0.577167,0.581500,0.577167,0.581500,259,35,14,1.52
123,0,0.581500,0.553747,0.577167,0.581500,0.577167,0.581500,242,35,14,1.56
124,0,0.581500,0.550230,0.577167,0.581500,0.577167,0.581500,239,35,14,1.51
125,0,0.581933,0.553531,0.577167,0.581933,0.577167,0.581933,235,36,14,1.53
126,0,0.581933,0.552290,0.577167,0.581933,0.577167,0.581933,228,36,14,1.61
127,0,0.581933,0.550772,0.577167,0.581933,0.577167,0.581933,221,35,14,1.76
128,0,0.581933,0.553109,0.577233,0.581933,0.577233,0.581933,213,35,14,1.61
129,0,0.581967,0.551472,0.577233,0.581967,0.577233,0.581967,207,39,15,1.66
130,0,0.582267,0.553465,0.577300,0.582267,0.577300,0.582267,198,35,14,1.57
131,0,0.582267,0.553422,0.577333,0.582267,0.577333,0.582267,197,35,14,1.88
132,0,0.582267,0.551767,0.577333,0.582267,0.577333,0.582267,199,35,14,1.74
133,0,0.582267,0.552503,0.577333,0.582267,0.577333,0.582267,210,35,14,1.73
134,0,0.582267,0.553137,0.577333,0.582267,0.577333,0.582267,209,35,14,1.78
135,0,0.582267,0.551936,0.578600,0.582267,0.578600,0.582267,227,35,14,1.73
136,0,0.582300,0.556274,0.581500,0.582300,0.581500,0.582300,214,36,14,1.62
137,0,0.582300,0.556957,0.581833,0.582300,0.581833,0.582300,223,36,14,1.59
138,0,0.582300,0.554974,0.581867,0.582300,0.581867,0.582300,217,36,14,1.65
