generation,phase,lead_best,lead_avg,follow_best,follow_avg,best_delta_lead,best_delta_follow,n_species_lead,n_species_follow,n_conns_lead,n_conns_follow,elapsed_sec
0,0,0.642394,0.642394,0.300223,0.300223,0.642394,0.300223,0,0,0,0,1.54
1,0,0.642394,0.642394,0.427302,0.308423,0.642394,0.427302,1,1,0,1,1.49
2,0,0.642394,0.642394,0.444778,0.341058,0.642394,0.444778,1,1,0,3,1.57
3,0,0.642394,0.642394,0.444778,0.389532,0.642394,0.444778,14,27,0,3,1.57
4,0,0.642394,0.642394,0.444778,0.411319,0.642394,0.444778,25,24,0,3,1.55
5,0,0.642394,0.642394,0.444778,0.420564,0.642394,0.444778,39,29,0,3,1.56
6,0,0.642394,0.642394,0.444778,0.421517,0.642394,0.444778,50,29,0,3,1.61
7,0,0.642394,0.642394,0.444778,0.420503,0.642394,0.444778,66,23,0,3,1.70
8,0,0.642394,0.642394,0.444778,0.421576,0.642394,0.444778,77,21,0,3,1.77
9,0,0.642394,0.642394,0.444778,0.421124,0.642394,0.444778,89,24,0,3,1.75
10,0,0.642394,0.642394,0.444778,0.421004,0.642394,0.444778,122,21,0,3,1.78
11,0,0.642394,0.642394,0.444778,0.420647,0.642394,0.444778,141,25,0,3,1.84
12,0,0.642394,0.642394,0.445081,0.420535,0.642394,0.445081,165,28,0,6,1.89
13,0,0.642394,0.642394,0.445081,0.421540,0.642394,0.445081,187,32,0,6,1.93
14,0,0.642394,0.642394,0.445081,0.423067,0.642394,0.445081,197,35,0,6,1.91
15,0,0.642394,0.642394,0.445081,0.424800,0.642394,0.445081,205,41,0,6,1.97
16,0,0.642394,0.642394,0.445081,0.427658,0.642394,0.445081,205,48,0,6,2.13
17,0,0.642394,0.642394,0.445081,0.429799,0.642394,0.445081,226,50,0,6,2.34
18,0,0.642394,0.642394,0.445081,0.432384,0.642394,0.445081,253,60,0,6,2.43
19,0,0.642394,0.642394,0.445081,0.433117,0.642394,0.445081,263,64,0,6,2.47
20,0,0.642394,0.642394,0.445081,0.437423,0.642394,0.445081,278,66,0,6,2.23
21,0,0.642394,0.642394,0.445081,0.438939,0.642394,0.445081,287,66,0,6,2.29
22,0,0.642394,0.642394,0.445081,0.437494,0.642394,0.445081,292,65,0,6,2.24
23,0,0.642394,0.642394,0.445081,0.437702,0.642394,0.445081,298,65,0,6,2.22
