generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,elapsed_sec
0,0,0.642394,0.642394,0.300223,0.300223,0,0,0,0,0.86
1,0,0.642394,0.642394,0.427302,0.308422,1,1,0,1,0.89
2,0,0.642394,0.642394,0.428493,0.341252,1,1,0,2,1.00
3,0,0.642394,0.642394,0.428493,0.389332,15,27,0,2,1.14
4,0,0.642394,0.642394,0.428493,0.413655,26,29,0,2,1.07
5,0,0.642394,0.642394,0.428493,0.422100,39,31,0,2,1.07
6,0,0.642394,0.642394,0.428493,0.424748,45,32,0,2,1.20
7,0,0.642394,0.642394,0.431645,0.426826,72,27,0,5,1.13
8,0,0.642394,0.642394,0.431645,0.427104,93,23,0,5,1.17
9,0,0.642394,0.642394,0.431645,0.426902,104,22,0,5,1.24
10,0,0.642394,0.642394,0.443272,0.427477,136,19,0,7,1.25
11,0,0.642394,0.642394,0.443272,0.427906,147,21,0,7,1.33
12,0,0.642394,0.642394,0.443272,0.428940,164,24,0,7,1.38
13,0,0.642394,0.641857,0.443272,0.429728,193,27,0,7,1.56
14,0,0.642394,0.642392,0.443272,0.430927,202,27,0,7,1.62
15,0,0.642394,0.642390,0.443587,0.432169,227,31,0,6,1.76
16,0,0.642394,0.642390,0.443587,0.433604,236,36,0,6,1.84
17,0,0.642394,0.642390,0.447439,0.435748,246,33,0,9,1.91
18,0,0.642394,0.642390,0.465253,0.438457,256,32,0,8,1.91
19,0,0.642394,0.642390,0.465253,0.440562,271,31,0,8,1.94
20,0,0.642394,0.642390,0.465907,0.442201,283,37,0,8,2.01
21,0,0.642394,0.642390,0.465907,0.443150,286,38,0,7,1.96
22,0,0.642394,0.642390,0.465907,0.443709,284,41,0,7,1.97
23,0,0.642394,0.642390,0.465907,0.444366,290,48,0,7,2.00
24,0,0.642394,0.642390,0.465907,0.445243,294,51,0,7,2.02
25,0,0.642394,0.642390,0.465907,0.447283,302,52,0,7,2.01
26,0,0.642394,0.642390,0.465907,0.452264,303,64,0,7,2.08
