Candidate Bot,Opponent Bot,Win Rate (%),CI Margin (%),Avg Card Pts
RandomBot,RandomBot,50.00,0.00,60.00
RandomBot,OldHeuristicBot,5.25,1.38,23.76
RandomBot,EliteHeuristicBot,2.65,1.00,22.15
RandomBot,WANN (Champion),4.95,1.34,23.90
RandomBot,WANN (Optimized),6.45,1.52,24.05
OldHeuristicBot,RandomBot,44.75,3.08,36.24
OldHeuristicBot,OldHeuristicBot,50.00,0.00,60.00
OldHeuristicBot,EliteHeuristicBot,16.10,2.28,28.54
OldHeuristicBot,WANN (Champion),19.90,2.47,29.06
OldHeuristicBot,WANN (Optimized),19.10,2.44,28.94
EliteHeuristicBot,RandomBot,47.35,3.09,37.85
EliteHeuristicBot,OldHeuristicBot,33.90,2.93,31.46
EliteHeuristicBot,EliteHeuristicBot,50.00,0.00,60.00
EliteHeuristicBot,WANN (Champion),29.05,2.81,30.94
EliteHeuristicBot,WANN (Optimized),30.05,2.84,31.04
WANN (Champion),RandomBot,45.05,3.08,36.10
WANN (Champion),OldHeuristicBot,30.10,2.84,30.94
WANN (Champion),EliteHeuristicBot,20.95,2.52,29.06
WANN (Champion),WANN (Champion),50.00,0.00,60.00
WANN (Champion),WANN (Optimized),26.35,2.73,30.25
WANN (Optimized),RandomBot,43.55,3.07,35.95
WANN (Optimized),OldHeuristicBot,30.90,2.86,31.06
WANN (Optimized),EliteHeuristicBot,19.95,2.48,28.96
WANN (Optimized),WANN (Champion),23.65,2.63,29.75
WANN (Optimized),WANN (Optimized),50.00,0.00,60.00
