generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
0,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0.333333,0.333333,0.000000,0.23
1,0,0.333333,0.333333,0.333333,0.333333,1,1,0,0,0.333333,0.333333,0.000000,0.25
2,0,0.333333,0.333333,0.333333,0.333333,1,1,0,0,0.333333,0.333333,0.000000,0.26
3,0,0.333333,0.333329,0.333333,0.333333,15,12,0,0,0.333333,0.333333,0.000000,0.25
4,0,0.333333,0.333333,0.464785,0.333552,20,18,3,3,0.333333,0.452874,0.000000,0.26
5,0,0.333333,0.333333,0.464785,0.333991,20,20,3,3,0.333333,0.452874,0.000000,0.27
6,0,0.333333,0.333333,0.464785,0.334698,20,20,2,3,0.333333,0.452874,0.000000,0.27
7,0,0.333333,0.333333,0.464785,0.336198,20,20,2,3,0.333333,0.452874,0.000000,0.27
8,0,0.333333,0.333333,0.464785,0.338358,20,20,2,3,0.333333,0.452874,0.000000,0.27
9,0,0.333333,0.333333,0.464785,0.344469,20,20,3,3,0.333333,0.452874,0.000000,0.37
10,0,0.333333,0.333333,0.464785,0.353080,20,20,3,3,0.333333,0.452874,0.000000,0.28
11,0,0.333333,0.333333,0.464785,0.366909,20,20,3,5,0.333333,0.452874,0.000000,0.30
12,0,0.333333,0.333333,0.467073,0.387318,20,20,3,8,0.333333,0.462069,0.000000,0.31
13,0,0.333333,0.333333,0.467328,0.411147,20,20,3,5,0.333333,0.462069,0.000000,0.31
14,0,0.333333,0.333333,0.467328,0.434027,20,20,3,5,0.333333,0.462069,0.000000,0.34
15,0,0.333333,0.333333,0.467836,0.447536,20,20,3,8,0.333333,0.459770,0.000000,0.33
16,0,0.333333,0.333333,0.467836,0.452091,20,20,3,8,0.333333,0.459770,0.000000,0.34
17,0,0.333333,0.333333,0.467836,0.449370,20,20,3,8,0.333333,0.459770,0.000000,0.36
18,0,0.333333,0.333333,0.469362,0.452368,20,20,3,6,0.333333,0.462069,0.000000,0.44
19,0,0.333333,0.333333,0.469870,0.448394,20,20,3,7,0.333333,0.468966,0.000000,0.50
20,0,0.333333,0.333333,0.469870,0.449272,20,20,3,7,0.333333,0.468966,0.000000,0.35
21,0,0.333333,0.333333,0.469870,0.451800,20,20,3,5,0.333333,0.468966,0.000000,0.34
22,0,0.333333,0.333333,0.486651,0.449485,20,20,3,8,0.333333,0.482759,0.000000,0.35
23,0,0.333333,0.333333,0.521739,0.451670,20,20,3,6,0.333333,0.533333,0.000000,0.35
24,0,0.333333,0.333333,0.526316,0.454185,20,20,3,9,0.333333,0.528736,0.000000,0.35
25,0,0.333333,0.333333,0.526316,0.454342,20,20,3,9,0.333333,0.528736,0.000000,0.36
26,0,0.333333,0.333307,0.526316,0.459979,20,20,1,9,0.333333,0.528736,0.000000,0.35
27,0,0.333333,0.333333,0.526316,0.463282,20,20,3,9,0.333333,0.528736,0.000000,0.35
28,0,0.333333,0.333333,0.526316,0.474644,20,20,3,9,0.333333,0.528736,0.000000,0.35
29,0,0.333333,0.333333,0.526316,0.483461,20,20,3,9,0.333333,0.528736,0.000000,0.57
30,0,0.333333,0.333333,0.526316,0.490753,20,20,1,9,0.333333,0.528736,0.000000,0.37
31,0,0.333333,0.333333,0.526316,0.497231,20,20,3,9,0.333333,0.528736,0.000000,0.36
32,0,0.333333,0.333333,0.526316,0.492764,20,20,1,9,0.333333,0.528736,0.000000,0.37
33,0,0.333333,0.333333,0.526316,0.491103,20,20,3,13,0.333333,0.528736,0.000000,0.37
34,0,0.333333,0.333333,0.526316,0.490025,20,20,3,13,0.333333,0.528736,0.000000,0.36
35,0,0.333333,0.333333,0.526316,0.483238,20,20,3,13,0.333333,0.528736,0.000000,0.37
36,0,0.333333,0.333333,0.526316,0.503024,20,20,3,14,0.333333,0.528736,0.000000,0.36
37,0,0.333333,0.333333,0.535215,0.507798,20,20,3,13,0.333333,0.521839,0.000000,0.36
38,0,0.333333,0.333333,0.536486,0.510234,20,20,4,13,0.333333,0.521839,0.000000,0.37
39,0,0.333333,0.333333,0.536486,0.509380,20,20,3,13,0.333333,0.521839,0.000000,0.67
40,0,0.333333,0.333333,0.536486,0.510286,20,20,3,13,0.333333,0.521839,0.000000,0.38
41,0,0.333333,0.333333,0.536486,0.512967,19,20,3,13,0.333333,0.521839,0.000000,0.37
42,0,0.333333,0.333333,0.536486,0.514365,20,20,5,13,0.333333,0.521839,0.000000,0.38
43,0,0.333333,0.333333,0.536995,0.515234,9,20,5,14,0.333333,0.521839,0.000000,0.40
44,0,0.333333,0.333333,0.536995,0.513654,14,20,3,14,0.333333,0.521839,0.000000,0.40
45,0,0.333333,0.333333,0.536995,0.518520,20,20,6,14,0.333333,0.521839,0.000000,0.44
46,0,0.333333,0.333333,0.538774,0.520799,19,20,6,15,0.333333,0.528736,0.000000,0.43
47,0,0.333333,0.333333,0.540300,0.522211,20,20,8,13,0.333333,0.528736,0.000000,0.45
48,0,0.333333,0.333333,0.540300,0.521170,20,20,1,13,0.333333,0.528736,0.000000,0.45
49,0,0.333333,0.333333,0.540300,0.521224,19,20,2,13,0.333333,0.528736,0.000000,0.84
50,0,0.333333,0.333333,0.540809,0.522493,20,20,7,17,0.333333,0.524138,0.000000,0.46
51,0,0.333333,0.333333,0.540809,0.520556,20,20,2,17,0.333333,0.524138,0.000000,0.48
52,0,0.333333,0.333332,0.540809,0.517238,20,20,7,17,0.333333,0.524138,0.000000,0.46
53,0,0.333333,0.333333,0.540809,0.520081,20,20,5,15,0.333333,0.524138,0.000000,0.48
54,0,0.333333,0.333333,0.540809,0.524147,20,20,5,15,0.333333,0.524138,0.000000,0.47
55,0,0.333333,0.333333,0.540809,0.527231,20,20,3,15,0.333333,0.524138,0.000000,0.49
56,0,0.333333,0.333333,0.540809,0.520648,20,20,5,19,0.333333,0.528736,0.000000,0.47
57,0,0.333333,0.333333,0.546911,0.520539,20,20,4,19,0.333333,0.537931,0.000000,0.48
58,0,0.333333,0.333333,0.546911,0.519689,20,20,5,19,0.333333,0.537931,0.000000,0.47
59,0,0.333333,0.333333,0.546911,0.524200,20,20,5,19,0.333333,0.537931,0.000000,0.88
60,0,0.333333,0.333333,0.546911,0.523100,20,20,5,22,0.333333,0.537931,0.000000,0.48
61,0,0.333333,0.333333,0.546911,0.525717,20,20,5,22,0.333333,0.537931,0.000000,0.54
62,0,0.333333,0.333333,0.547419,0.528312,20,20,5,19,0.333333,0.535632,0.000000,0.52
63,0,0.333333,0.333333,0.547674,0.523755,20,20,5,20,0.333333,0.535632,0.000000,0.54
64,0,0.333333,0.333333,0.548436,0.524433,20,20,5,20,0.333333,0.535632,0.000000,0.53
65,0,0.333333,0.333333,0.548436,0.528740,20,20,5,20,0.333333,0.535632,0.000000,0.53
66,0,0.333333,0.333333,0.548436,0.528958,20,20,5,20,0.333333,0.535632,0.000000,0.54
67,0,0.333333,0.333333,0.548945,0.529562,20,20,3,21,0.333333,0.533333,0.000000,0.52
68,0,0.333333,0.333333,0.549199,0.529330,20,20,4,18,0.333333,0.533333,0.000000,0.53
69,0,0.333333,0.333333,0.549199,0.527668,20,16,4,18,0.333333,0.533333,0.000000,1.02
70,0,0.333333,0.333333,0.549199,0.530236,20,20,5,18,0.333333,0.533333,0.000000,0.56
71,0,0.333333,0.333333,0.549199,0.529546,20,15,2,18,0.333333,0.533333,0.000000,0.57
72,0,0.333333,0.333333,0.549199,0.532729,20,16,4,18,0.333333,0.533333,0.000000,0.56
73,0,0.333333,0.333333,0.549199,0.531990,20,15,4,18,0.333333,0.533333,0.000000,0.57
74,0,0.333333,0.333333,0.549199,0.528980,20,19,4,17,0.333333,0.533333,0.000000,0.53
75,0,0.333333,0.333333,0.549199,0.532543,20,20,5,17,0.333333,0.533333,0.000000,0.53
76,0,0.333333,0.333333,0.549199,0.530382,20,20,5,18,0.333333,0.533333,0.000000,0.53
77,0,0.333333,0.333333,0.549199,0.533319,20,20,3,18,0.333333,0.533333,0.000000,0.52
78,0,0.333333,0.333333,0.549199,0.529447,20,18,5,18,0.333333,0.533333,0.000000,0.53
79,0,0.333333,0.333333,0.549199,0.527591,20,18,3,18,0.333333,0.533333,0.000000,1.05
80,0,0.333333,0.333333,0.549199,0.527815,20,20,3,18,0.333333,0.533333,0.000000,0.51
81,0,0.333333,0.333333,0.549199,0.526523,20,20,2,18,0.333333,0.533333,0.000000,0.53
82,0,0.333333,0.333333,0.549199,0.533111,19,20,3,19,0.333333,0.533333,0.000000,0.51
83,0,0.333333,0.333333,0.549199,0.534758,20,20,3,17,0.333333,0.533333,0.000000,0.51
84,0,0.333333,0.333333,0.549199,0.533594,13,20,3,19,0.333333,0.533333,0.000000,0.52
85,0,0.333333,0.333333,0.549199,0.532894,16,20,5,20,0.333333,0.535632,0.000000,0.52
86,0,0.333333,0.333333,0.549199,0.532644,20,19,4,17,0.333333,0.533333,0.000000,0.54
87,0,0.333333,0.333333,0.549708,0.529008,20,20,2,21,0.333333,0.535632,0.000000,0.54
88,0,0.333333,0.333333,0.549708,0.526723,20,20,2,21,0.333333,0.535632,0.000000,0.53
89,0,0.333333,0.333333,0.550470,0.530563,20,20,2,26,0.333333,0.540230,0.000000,0.95
90,0,0.333333,0.333333,0.550470,0.532972,20,20,2,26,0.333333,0.540230,0.000000,0.51
91,0,0.333333,0.333333,0.550470,0.535282,20,20,4,26,0.333333,0.540230,0.000000,0.50
92,0,0.333333,0.333333,0.550470,0.532506,20,20,2,26,0.333333,0.540230,0.000000,0.51
93,0,0.333333,0.333333,0.550470,0.528810,20,20,3,26,0.333333,0.540230,0.000000,0.50
94,0,0.333333,0.333333,0.550470,0.532230,20,20,2,26,0.333333,0.540230,0.000000,0.50
95,0,0.333333,0.333333,0.550470,0.535034,20,20,3,26,0.333333,0.540230,0.000000,0.51
96,0,0.333333,0.333333,0.550470,0.531240,20,20,2,26,0.333333,0.540230,0.000000,0.52
97,0,0.333333,0.333333,0.550470,0.535131,20,20,2,26,0.333333,0.540230,0.000000,0.51
98,0,0.333333,0.333333,0.550470,0.536862,20,20,2,26,0.333333,0.540230,0.000000,0.52
99,0,0.333333,0.333333,0.550470,0.536498,20,20,2,26,0.333333,0.540230,0.000000,0.99
