generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
0,0,0.236562,0.236562,0.258108,0.258108,0,0,0,0,0.238956,0.259036,0.000000,0.14
1,0,0.236562,0.236562,0.258108,0.258108,1,1,0,0,0.238956,0.259036,0.000000,0.15
2,0,0.524434,0.237425,0.258108,0.258108,1,1,1,0,0.522088,0.259036,0.000000,0.17
3,0,0.524434,0.242321,0.258108,0.258108,14,20,1,3,0.522088,0.259036,0.000000,0.17
4,0,0.524434,0.257042,0.258108,0.258108,20,20,2,1,0.522088,0.259036,0.000000,0.23
5,0,0.524434,0.301036,0.258108,0.258108,20,20,2,3,0.522088,0.259036,0.000000,0.26
6,0,0.524434,0.376972,0.258108,0.258108,20,20,3,2,0.522088,0.259036,0.000000,0.19
7,0,0.524656,0.429346,0.258108,0.258108,20,20,3,2,0.522088,0.259036,0.000000,0.28
8,0,0.524656,0.441024,0.258108,0.258108,20,20,3,2,0.522088,0.259036,0.000000,0.24
9,0,0.525544,0.448364,0.258108,0.258108,20,20,3,2,0.526104,0.259036,0.000000,0.23
10,0,0.525544,0.457235,0.258108,0.258108,20,20,3,2,0.526104,0.259036,0.000000,0.21
11,0,0.526655,0.460087,0.258108,0.258108,20,20,5,3,0.514056,0.259036,0.000000,0.21
12,0,0.526655,0.470144,0.258108,0.258108,20,20,5,4,0.514056,0.259036,0.000000,0.41
13,0,0.526655,0.472653,0.258108,0.258108,20,20,5,3,0.514056,0.259036,0.000000,0.34
14,0,0.526655,0.474229,0.258108,0.258108,20,20,5,2,0.514056,0.259036,0.000000,0.37
15,0,0.526655,0.471343,0.349622,0.258199,20,20,5,3,0.514056,0.367470,0.000000,0.28
16,0,0.526655,0.476179,0.349622,0.258651,20,20,5,3,0.514056,0.367470,0.000000,0.36
17,0,0.526655,0.482364,0.349622,0.261081,20,20,5,3,0.514056,0.367470,0.000000,0.24
18,0,0.526655,0.486588,0.483785,0.271658,20,20,7,2,0.514056,0.481928,0.000000,0.38
19,0,0.526655,0.484532,0.483785,0.287256,20,20,6,2,0.514056,0.481928,0.000000,0.32
20,0,0.526655,0.486934,0.483785,0.312251,20,20,6,2,0.514056,0.481928,0.000000,0.27
21,0,0.526655,0.485281,0.483785,0.352770,20,20,9,4,0.514056,0.481928,0.000000,0.25
22,0,0.526655,0.484385,0.484673,0.393987,20,20,8,8,0.514056,0.481928,0.000000,0.25
23,0,0.526655,0.490458,0.485340,0.429073,20,20,9,10,0.514056,0.489960,0.000000,0.25
24,0,0.526655,0.494232,0.485340,0.454142,20,20,7,10,0.514056,0.489960,0.000000,0.38
25,0,0.526877,0.491902,0.485340,0.459904,20,20,8,10,0.514056,0.489960,0.000000,0.38
26,0,0.526877,0.492729,0.485340,0.464934,20,20,8,10,0.514056,0.489960,0.000000,0.36
27,0,0.527321,0.494562,0.485340,0.462428,20,20,10,11,0.514056,0.489960,0.000000,0.36
28,0,0.527321,0.506307,0.485340,0.461938,20,20,10,10,0.514056,0.489960,0.000000,0.35
29,0,0.527321,0.508355,0.485340,0.461901,20,20,10,10,0.514056,0.489960,0.000000,0.36
30,0,0.527321,0.511720,0.485340,0.460331,20,20,11,14,0.514056,0.489960,0.000000,0.35
31,0,0.527543,0.511741,0.485340,0.460987,20,20,9,12,0.518072,0.489960,0.000000,0.34
32,0,0.527543,0.514115,0.485340,0.462243,20,20,9,11,0.518072,0.489960,0.000000,0.34
33,0,0.527543,0.516248,0.485340,0.455463,20,20,13,9,0.518072,0.489960,0.000000,0.38
34,0,0.527543,0.520555,0.485784,0.461157,20,20,9,12,0.518072,0.493976,0.000000,0.45
35,0,0.528210,0.518298,0.488450,0.455718,20,20,12,15,0.518072,0.502008,0.000000,0.34
36,0,0.528210,0.522298,0.488450,0.460438,20,20,12,15,0.518072,0.502008,0.000000,0.38
37,0,0.528210,0.523309,0.488450,0.460731,20,20,12,15,0.518072,0.502008,0.000000,0.39
38,0,0.528210,0.521209,0.488450,0.459720,20,20,12,15,0.518072,0.502008,0.000000,0.37
39,0,0.528210,0.522450,0.488450,0.455422,20,20,13,15,0.518072,0.502008,0.000000,0.50
40,0,0.528210,0.524066,0.488450,0.460956,20,20,12,15,0.518072,0.502008,0.000000,0.35
41,0,0.528210,0.524220,0.488450,0.451896,20,20,14,15,0.518072,0.502008,0.000000,0.37
42,0,0.528210,0.523718,0.488450,0.453066,20,20,13,15,0.518072,0.502008,0.000000,0.36
43,0,0.528210,0.523999,0.488450,0.457048,20,20,14,15,0.518072,0.502008,0.000000,0.35
44,0,0.528210,0.524275,0.488450,0.462380,20,20,13,19,0.518072,0.502008,0.000000,0.43
45,0,0.528210,0.524043,0.488450,0.465957,20,20,13,15,0.518072,0.502008,0.000000,0.41
46,0,0.528210,0.522695,0.488450,0.461389,20,20,13,15,0.518072,0.502008,0.000000,0.41
47,0,0.535318,0.523043,0.488450,0.463647,20,20,14,15,0.528112,0.502008,0.000000,0.39
48,0,0.535318,0.524159,0.488450,0.460759,20,20,14,17,0.528112,0.502008,0.000000,0.44
49,0,0.535318,0.523944,0.488450,0.460739,20,20,14,15,0.528112,0.502008,0.000000,0.52
50,0,0.535318,0.523902,0.488450,0.459612,20,20,14,15,0.528112,0.502008,0.000000,0.43
51,0,0.535318,0.524033,0.488450,0.458635,20,20,14,15,0.528112,0.502008,0.000000,0.42
52,0,0.535318,0.525142,0.488672,0.452165,20,20,14,17,0.528112,0.502008,0.000000,0.47
53,0,0.535318,0.525056,0.488672,0.442890,20,20,14,17,0.528112,0.502008,0.000000,0.50
54,0,0.535318,0.523325,0.488672,0.456404,20,20,15,17,0.528112,0.502008,0.000000,0.46
