generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
0,0,0.15625,-0.7873046875,-0.705078125,0.15625,0.0625,0.15625,0,2,0,-0.25,8.140815496444702
1,0,0.20201822916666667,-0.4452350260416668,-0.33326822916666665,0.234375,0.046875,0.20201822916666667,1,1,0,-0.29583333333333334,8.245189905166626
2,0,0.296875,-0.244328125,-0.055859375,0.296875,0.046875,0.296875,1,2,0,-0.3416666666666667,7.346782684326172
3,0,0.203125,-0.41721874999999997,-0.0625,0.203125,0.0390625,0.296875,1,2,0,-0.3875,7.098383188247681
4,0,0.265625,-0.35022916666666676,-0.03125,0.265625,0.03125,0.296875,1,1,0,-0.43333333333333335,7.058781623840332
5,0,0.265625,-0.35074869791666663,-0.013997395833333329,0.265625,0.0625,0.296875,1,1,0,-0.47916666666666663,6.644637823104858
6,0,0.28125,-0.50687109375,0.0,0.28125,0.046875,0.296875,1,1,0,-0.525,6.755842924118042
7,0,0.234375,-0.61258203125,-0.055761718749999994,0.234375,0.078125,0.296875,1,3,0,-0.5708333333333333,7.069580554962158
8,0,0.25,-0.32671354166666666,0.013020833333333329,0.25,0.046875,0.296875,1,4,1,-0.6166666666666667,7.001893758773804
9,0,0.1771484375,-0.49903125,0.0,0.1875,0.046875,0.296875,1,1,0,-0.6625,7.545503377914429
10,0,0.296875,-0.6203255208333333,0.03125,0.296875,0.09375,0.296875,1,2,0,-0.7083333333333333,8.138835191726685
11,0,0.25,-0.41960026041666665,0.015625,0.25,0.046875,0.296875,1,4,1,-0.7541666666666667,7.5729639530181885
12,0,0.28125,-0.5139374999999999,0.015625,0.28125,0.046875,0.296875,1,1,0,-0.8,6.679752588272095
13,0,0.265625,-0.6965703125,-0.03125,0.265625,0.0390625,0.296875,1,1,0,-0.8458333333333333,6.7347400188446045
14,0,0.234375,-0.6225351562500001,0.0234375,0.234375,0.0703125,0.296875,1,2,0,-0.8916666666666667,7.005571603775024
